stx_ident,count
stx/stx/2017-04-30 04_00_00.npz,4
stx/stx/2017-09-19 02_00_00.npz,2
stx/stx/2017-12-22 08_00_00.npz,2
stx/stx/2017-07-24 05_30_00.npz,4
stx/stx/2017-05-18 22_00_00.npz,5
stx/stx/2017-08-15 00_00_00.npz,1
stx/stx/2017-06-04 18_00_00.npz,2
stx/stx/2017-07-09 01_30_00.npz,10
stx/stx/2017-01-18 13_30_00.npz,1
stx/stx/2017-06-03 20_00_00.npz,1
stx/stx/2017-08-02 22_00_00.npz,3
stx/stx/2017-07-07 23_00_00.npz,3
stx/stx/2017-07-28 17_00_00.npz,2
stx/stx/2017-07-08 17_00_00.npz,4
stx/stx/2017-08-07 10_00_00.npz,12
stx/stx/2017-05-20 22_30_00.npz,10
stx/stx/2017-12-23 05_00_00.npz,3
stx/stx/2017-01-19 17_00_00.npz,4
stx/stx/2017-12-17 02_30_00.npz,3
stx/stx/2017-08-04 09_00_00.npz,1
stx/stx/2017-03-25 01_00_00.npz,6
stx/stx/2017-04-30 08_30_00.npz,1
stx/stx/2017-01-18 12_30_00.npz,1
stx/stx/2017-01-15 05_00_00.npz,4
stx/stx/2017-05-31 21_30_00.npz,13
stx/stx/2017-08-10 10_00_00.npz,5
stx/stx/2017-01-14 17_30_00.npz,1
stx/stx/2017-08-21 00_00_00.npz,4
stx/stx/2017-02-14 01_30_00.npz,2
stx/stx/2017-05-21 20_30_00.npz,5
